"ICD9Code","ICD9Description","Comorbidity"
"305.01","ALCOHOL ABUSE, CONTINUOUS DRINKING BEHAVIOR","AlcoholAbuse"
"305.02","ALCOHOL ABUSE, EPISODIC DRINKING BEHAVIOR","AlcoholAbuse"
"305.03","ALCOHOL ABUSE, IN REMISSION","AlcoholAbuse"
"303.01","ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, CONTINUOUS DRINKING BEHAVIOR","AlcoholDependence"
"303.02","ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, EPISODIC DRINKING BEHAVIOR","AlcoholDependence"
"303.03","ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, IN REMISSION","AlcoholDependence"
"303.91","OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, CONTINUOUS DRINKING BEHAVIOR","AlcoholDependence"
"303.92","OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, EPISODIC DRINKING BEHAVIOR","AlcoholDependence"
"303.93","OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, IN REMISSION","AlcoholDependence"
"300.00","ANXIETY STATE, UNSPECIFIED","Anxiety"
"300.01","PANIC DISORDER","Anxiety"
"300.02","GENERALIZED ANXIETY DISORDER","Anxiety"
"300.09","OTHER ANXIETY STATES","Anxiety"
"296.01","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, MILD","Bipolar"
"296.02","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, MODERATE","Bipolar"
"296.03","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Bipolar"
"296.04","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Bipolar"
"296.05","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION","Bipolar"
"296.06","BIPOLAR I DISORDER, SINGLE MANIC EPISODE, IN FULL REMISSION","Bipolar"
"296.11","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, MILD DEGREE","Bipolar"
"296.12","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, MODERATE DEGREE","Bipolar"
"296.13","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Bipolar"
"296.14","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Bipolar"
"296.15","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION","Bipolar"
"296.16","MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, IN FULL REMISSION","Bipolar"
"296.26","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, IN FULL REMISSION","Bipolar"
"296.36","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, IN FULL REMISSION","Bipolar"
"296.41","BIPOLAR AFFECTIVE DISORDER, MANIC, MILD DEGREE","Bipolar"
"296.42","BIPOLAR AFFECTIVE DISORDER, MANIC, MODERATE DEGREE","Bipolar"
"296.43","BIPOLAR AFFECTIVE DISORDER, MANIC, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Bipolar"
"296.44","BIPOLAR AFFECTIVE DISORDER, MANIC, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Bipolar"
"296.45","BIPOLAR AFFECTIVE DISORDER, MANIC, IN PARTIAL OR UNSPECIFIED REMISSION","Bipolar"
"296.46","BIPOLAR AFFECTIVE DISORDER, MANIC, IN FULL REMISSION","Bipolar"
"296.51","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, MILD DEGREE","Bipolar"
"296.52","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, MODERATE DEGREE","Bipolar"
"296.53","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Bipolar"
"296.54","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Bipolar"
"296.55","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, IN PARTIAL OR UNSPECIFIED REMISSION","Bipolar"
"296.56","BIPOLAR AFFECTIVE DISORDER, DEPRESSED, IN REMISSION","Bipolar"
"296.61","BIPOLAR AFFECTIVE DISORDER, MIXED, MILD DEGREE","Bipolar"
"296.62","BIPOLAR AFFECTIVE DISORDER, MIXED, MODERATE DEGREE","Bipolar"
"296.63","BIPOLAR AFFECTIVE DISORDER, MIXED, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Bipolar"
"296.64","BIPOLAR AFFECTIVE DISORDER, MIXED, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Bipolar"
"296.65","BIPOLAR AFFECTIVE DISORDER, MIXED, IN PARTIAL OR UNSPECIFIED REMISSION","Bipolar"
"296.66","BIPOLAR AFFECTIVE DISORDER, MIXED, IN FULL REMISSION","Bipolar"
"296.7","BIPOLAR AFFECTIVE DISORDER, UNSPECIFIED","Bipolar"
"296.81","ATYPICAL MANIC DISORDER","Bipolar"
"296.82","ATYPICAL DEPRESSIVE DISORDER","Bipolar"
"296.89","OTHER AND UNSPECIFIED BIPOLAR DISORDERS, OTHER","Bipolar"
"296.99","OTHER SPECIFIED AFFECTIVE PSYCHOSES","Bipolar"
"290.13","PRESENILE DEMENTIA WITH DEPRESSIVE FEATURES","Depression"
"290.21","SENILE DEMENTIA WITH DEPRESSIVE FEATURES","Depression"
"290.43","ARTERIOSCLEROTIC DEMENTIA WITH DEPRESSIVE FEATURES","Depression"
"293.83","MOOD DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE","Depression"
"296.20","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, UNSPECIFIED DEGREE","Depression"
"296.21","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, MILD DEGREE","Depression"
"296.22","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, MODERATE DEGREE","Depression"
"296.23","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Depression"
"296.24","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Depression"
"296.25","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION","Depression"
"296.26","MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, IN FULL REMISSION","Depression"
"296.30","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED DEGREE","Depression"
"296.31","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, MILD DEGREE","Depression"
"296.32","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, MODERATE DEGREE","Depression"
"296.33","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE DEGREE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR","Depression"
"296.34","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR","Depression"
"296.35","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION","Depression"
"296.36","MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, IN FULL REMISSION","Depression"
"296.82","ATYPICAL DEPRESSIVE DISORDER","Depression"
"300.4","DYSTHYMIC DISORDER","Depression"
"311.","DEPRESSIVE DISORDER, NOT ELSEWHERE CLASSIFIED","Depression"
"305.21","CANNABIS ABUSE, CONTINUOUS USE","DrugAbuse"
"305.22","CANNABIS ABUSE, EPISODIC USE","DrugAbuse"
"305.23","CANNABIS ABUSE, IN REMISSION","DrugAbuse"
"305.31","HALLUCINOGEN ABUSE, CONTINUOUS USE","DrugAbuse"
"305.32","HALLUCINOGEN ABUSE, EPISODIC USE","DrugAbuse"
"305.33","HALLUCINOGEN ABUSE, IN REMISSION","DrugAbuse"
"305.41","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC ABUSE CONTINUOUS","DrugAbuse"
"305.42","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC ABUSE EPISODIC","DrugAbuse"
"305.43","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC ABUSE IN REMISSION","DrugAbuse"
"305.51","OPIOID ABUSE CONTINUOUS","DrugAbuse"
"305.52","OPIOID ABUSE EPISODIC","DrugAbuse"
"305.53","OPIOID ABUSE IN REMISSION","DrugAbuse"
"305.6","COCAINE ABUSE, UNSPECIFIED USE","DrugAbuse"
"305.61","COCAINE ABUSE, CONTINUOUS USE","DrugAbuse"
"305.62","COCAINE ABUSE, EPISODIC USE","DrugAbuse"
"305.63","COCAINE ABUSE, IN REMISSION","DrugAbuse"
"305.71","AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE CONTINUOUS","DrugAbuse"
"305.72","AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE EPISODIC","DrugAbuse"
"305.73","AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, IN REMISSION","DrugAbuse"
"305.81","ANTIDEPRESSANT TYPE ABUSE, CONTINUOUS USE","DrugAbuse"
"305.82","ANTIDEPRESSANT TYPE ABUSE, EPISODIC USE","DrugAbuse"
"305.83","ANTIDEPRESSANT TYPE ABUSE, IN REMISSION","DrugAbuse"
"305.91","OTHER, MIXED, OR UNSPECIFIED DRUG ABSE, CONTINUOUS USE","DrugAbuse"
"305.92","OTHER MIXED, OR UNSPECIFIED DRUG ABUSE, EPISODIC USE","DrugAbuse"
"305.93","OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, IN REMISSION","DrugAbuse"
"304.01","OPIOID TYPE DEPENDENCE CONTINUOUS","DrugDependence"
"304.02","OPIOID TYPE DEPENDENCE EPISODIC","DrugDependence"
"304.03","OPIOID TYPE DEPENDENCE IN REMISSION","DrugDependence"
"304.11","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC DEPENDENCE CONTINUOUS","DrugDependence"
"304.12","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC DEPENDENCE EPISODIC","DrugDependence"
"304.13","BARBITURATE AND SIMILARLY ACTING SEDATIVE OR HYPNOTIC DEPENDENCE IN REMISSION","DrugDependence"
"304.21","COCAINE DEPENDENCE, CONTINUOUS USE","DrugDependence"
"304.22","COCAINE DEPENDENCE, EPISODIC USE","DrugDependence"
"304.23","COCAINE DEPENDENCE, IN REMISSION","DrugDependence"
"304.31","CANNABIS DEPENDENCE, CONTINUOUS USE","DrugDependence"
"304.32","CANNABIS DEPENDENCE, EPISODIC USE","DrugDependence"
"304.33","CANNABIS DEPENDENCE, IN REMISSION","DrugDependence"
"304.41","AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE CONTINUOUS","DrugDependence"
"304.42","AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, EPISODIC USE","DrugDependence"
"304.43","AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, IN REMISSION","DrugDependence"
"304.51","HALLUCINOGEN DEPENDENCE, CONTINUOUS USE","DrugDependence"
"304.52","HALLUCINOGEN DEPENDENCE, EPISODIC USE","DrugDependence"
"304.53","HALLUCINOGEN DEPENDENCE, IN REMISSION","DrugDependence"
"304.61","OTHER SPECIFIED DRUG DEPENDENCE, CONTINUOUS USE","DrugDependence"
"304.62","OTHER SPECIFIED DRUG DEPENDENCE, EPISODIC USE","DrugDependence"
"304.63","OTHER SPECIFIED DRUG DEPENDENCE, IN REMISSION","DrugDependence"
"304.71","COMBINATIONS OF OPIOID TYPE DRUG WITH ANY OTHER DRUG DEPENDENCE, CONTINUOUS USE","DrugDependence"
"304.72","COMBINATIONS OF OPIOID TYPE DRUG WITH ANY OTHER DRUG DEPENDENCE, EPISODIC USE","DrugDependence"
"304.73","COMBINATIONS OF OPIOID TYPE DRUG WITH ANY OTHER DRUG DEPENDENCE, IN REMISSION","DrugDependence"
"304.81","COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, CONTINUOUS USE","DrugDependence"
"304.82","COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, EPISODIC USE","DrugDependence"
"304.83","COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, IN REMISSION","DrugDependence"
"304.91","UNSPECIFIED DRUG DEPENDENCE, CONTINUOUS","DrugDependence"
"304.92","UNSPECIFIED DRUG DEPENDENCE, EPISODIC USE","DrugDependence"
"304.93","UNSPECIFIED DRUG DEPENDENCE, IN REMISSION","DrugDependence"
"307.50","EATING DISORDER, UNSPECIFIED","EatingDisorder"
"307.51","BULIMIA","EatingDisorder"
"307.53","PSYCHOGENIC RUMINATION","EatingDisorder"
"307.54","PSYCHOGENIC VOMITING","EatingDisorder"
"307.59","OTHER DISORDERS OF EATING","EatingDisorder"
"297.1","DELUSIONAL DISORDER","Psychosis"
"297.2","PARAPHRENIA","Psychosis"
"297.3","SHARED PARANOID DISORDER","Psychosis"
"297.8","OTHER SPECIFIED PARANOID STATES","Psychosis"
"297.9","UNSPECIFIED PARANOID STATE","Psychosis"
"298.1","EXCITATIVE TYPE PSYCHOSIS","Psychosis"
"298.2","REACTIVE CONFUSION","Psychosis"
"298.3","ACUTE PARANOID REACTION","Psychosis"
"298.4","PSYCHOGENIC PARANOID PSYCHOSIS","Psychosis"
"298.8","OTHER AND UNSPECIFIED REACTIVE PSYCHOSIS","Psychosis"
"298.9","UNSPECIFIED PSYCHOSIS","Psychosis"
"295.01","SIMPLE TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.02","SIMPLE TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.03","SIMPLE TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.04","SIMPLE TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.05","SIMPLE TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.11","DISORGANIZED TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.12","DISORGANIZED TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.13","DISORGANIZED TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.14","DISORGANIZED TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.15","DISORGANIZED TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.21","CATATONIC TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.22","CATATONIC TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.23","CATATONIC TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.24","CATATONIC TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.25","CATATONIC TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.31","PARANOID TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.32","PARANOID TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.33","PARANOID TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.34","PARANOID TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.35","PARANOID TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.41","ACUTE SCHIZOPHRENIC EPISODE, SUBCHRONIC STATE","Schizophrenia"
"295.42","ACUTE SCHIZOPHRENIC EPISODE, CHRONIC STATE","Schizophrenia"
"295.43","ACUTE SCHIZOPHRENIC EPISODE, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.44","ACUTE SCHIZOPHRENIC EPISODE, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.45","ACUTE SCHIZOPHRENIC EPISODE, IN REMISSION","Schizophrenia"
"295.51","LATENT SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.52","LATENT SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.53","LATENT SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.54","LATENT SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.61","RESIDUAL SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.62","RESIDUAL SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.63","RESIDUAL SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.64","RESIDUAL SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.65","RESIDUAL SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.71","SCHIZO-AFFECTIVE TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.72","SCHIZO-AFFECTIVE TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.73","SCHIZO-AFFECTIVE TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.74","SCHIZO-AFFECTIVE TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.75","SCHIZO-AFFECTIVE TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.81","OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.82","OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.83","OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.84","OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.85","OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"295.91","UNSPECIFIED TYPE SCHIZOPHRENIA, SUBCHRONIC STATE","Schizophrenia"
"295.92","UNSPECIFIED TYPE SCHIZOPHRENIA, CHRONIC STATE","Schizophrenia"
"295.93","UNSPECIFIED TYPE SCHIZOPHRENIA, SUBCHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.94","UNSPECIFIED TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION","Schizophrenia"
"295.95","UNSPECIFIED TYPE SCHIZOPHRENIA, IN REMISSION","Schizophrenia"
"305.1","TOBACCO USE DISORDER, UNSPECIFIED USE","Smoking"
"649.01","TOBACCO USE DISORDER COMPLICATING PREGNANCY, CHILDBIRTH, OR THE PUERPERIUM, DELIVERED, WITH OR WITHOUT MENTION OF ANTEPARTUM CONDITION","Smoking"
