"StopCode","StopCodeName"
103,"TELEPHONE TRIAGE"
107,"EKG"
136,"TELE POST DEPLOY PT SITE"
136,"FOBT - GUIAC SCREENING"
137,"TELE POST DEPLOY PROV SITE"
137,"ALCOHOL COUNSELING - MED CARE"
147,"TELEPHONE/ANCILLARY"
148,"TELEPHONE/DIAGNOSTIC"
169,"TELEPHONE/CHAPLAIN"
178,"TELEPHONE HBPC"
179,"RT CLIN VID CARE HOME"
181,"TELEPHONE/DENTAL"
182,"TELEPHONE CASE MANAGEMENT"
189,"S&F HOME NON VA PROV SITE"
199,"TELEPHONE POLYTRAUMA/TBI"
199,"WLA-SPEECH PATH POLY TELE"
216,"TELEPHONE/REHAB AND SUPPORT"
221,"TELEPHONE VIST"
224,"TELEPHONE SCI"
229,"TELEPHONE/BLIND REHAB PROGRAM"
324,"TELEPHONE/MEDICINE"
325,"TELEPHONE/NEUROLOGY"
326,"TELEPHONE/GERIATRICS"
338,"TELEPHONE PRIMARY CARE"
424,"TELEPHONE/SURGERY"
425,"TELEPHONE/PROSTHETICS/ORTHOTIC"
428,"TELEPHONE/OPTOMETRY"
440,"TELE FIT & ADJUST PROV SITE"
441,"TELEPHONE ANESTHESIA"
444,"C&P VIA CVT PT SITE"
445,"C&P VIA CVT PROV SITE"
446,"IDES VIA CVT PT SITE"
447,"IDES VIA CVT PROV SITE"
491,"TELETRANSPLANT PROV SITE"
527,"TELEPHONE MH"
528,"TELEPHONE HCMI"
533,"MH INTERVNTION BIOMED CARE IND"
536,"TELEPHONE/MH VOC ASSISTANCE"
542,"TELEPHONE/PTSD"
545,"TELEPHONE SUD"
546,"TELEPHONE ICMHR"
579,"TELEPHONE/PSYCHOGERIATRICS"
584,"TELEPHONE PRRC"
587,"RRTP GROUP"
611,"TELEPHONE/DIALYSIS"
644,"NC RTCV TELECARE PT LOC"
645,"NC RTCV TELECARE PRV LOC"
646,"NC S&F TELECARE PT LOC"
647,"NC S&F TELECARE PRV LOC"
648,"RT CVT W NONVAMC PROVID LOC"
679,"NC CVT TO HOME PROVID LOC"
686,"TELEPHONE BY HT STAFF"
690,"RT CLIN VID TH PAT SITE"
692,"CVT PRV SITE SAME DIV/STA"
693,"RT CLIN VD TH PRV SITE(DIFSTA)"
694,"SF TH PAT SITE"
695,"SF TH PRV SITE SAME DIV/STA"
696,"SF TH PRV SITE(DIFSTA)"
698,"REMOTE PT MONITOR PROV SITE"
708,"TELE SMOKE CESS PROV SITE"
718,"EYE TELE SCREENING"
723,"OEND ED CVT PT SITE"
724,"OEND ED CVT PRV SITE"
